[INFO] 2022-10-11-22-51-52 : testserver.cc (67) <main>   main thread : 5246

[INFO] 2022-10-11-22-51-52 : /home/shc/Muduo/src/EventLoop.cpp (42) <EventLoop>   EventLoop created 0x7ffe86a07ca0 in thread 5246

[INFO] 2022-10-11-22-51-52 : /home/shc/Muduo/src/EpollPoller.cpp (38) <updateChannel>   fd = 4 , events = 3 , index = -1

[INFO] 2022-10-11-22-51-52 : /home/shc/Muduo/src/EpollPoller.cpp (92) <update>   fd = 4 is to be epolled or deleted in loop 0x7ffe86a07ca0 on thread 5246
[INFO] 2022-10-11-22-51-52 : /home/shc/Muduo/src/EventLoopThread.cpp (58) <threadFunc>   main(): pid = 5246 , tid = 5247

[INFO] 2022-10-11-22-51-52 : /home/shc/Muduo/src/EventLoop.cpp (42) <EventLoop>   EventLoop created 0x7fce4d028630 in thread 5247

[INFO] 2022-10-11-22-51-52 : /home/shc/Muduo/src/EpollPoller.cpp (38) <updateChannel>   fd = 7 , events = 3 , index = -1

[INFO] 2022-10-11-22-51-52 : /home/shc/Muduo/src/EpollPoller.cpp (92) <update>   fd = 7 is to be epolled or deleted in loop 0x7fce4d028630 on thread 5247
[INFO] 2022-10-11-22-51-52 : /home/shc/Muduo/src/EventLoopThread.cpp (73) <threadFunc>   loop_ = 0x7fce4d028630 in thread 5247
[INFO] 2022-10-11-22-51-52 : /home/shc/Muduo/src/EventLoop.cpp (82) <loop>   EventLoop 0x7fce4d028630 belonged to thread 5247 start looping on thread 5247

[INFO] 2022-10-11-22-51-52 : /home/shc/Muduo/src/EventLoop.cpp (86) <loop>   TEST

[INFO] 2022-10-11-22-51-52 : /home/shc/Muduo/src/EpollPoller.cpp (125) <poll>   fd to be monitored total count : 1 in loop 0x7fce4d028630 on thread 5247

[INFO] 2022-10-11-22-51-52 : /home/shc/Muduo/src/EventLoopThread.cpp (58) <threadFunc>   main(): pid = 5246 , tid = 5248

[INFO] 2022-10-11-22-51-52 : /home/shc/Muduo/src/EventLoop.cpp (42) <EventLoop>   EventLoop created 0x7fce4c827630 in thread 5248

[INFO] 2022-10-11-22-51-52 : /home/shc/Muduo/src/EpollPoller.cpp (38) <updateChannel>   fd = 9 , events = 3 , index = -1

[INFO] 2022-10-11-22-51-52 : /home/shc/Muduo/src/EpollPoller.cpp (92) <update>   fd = 9 is to be epolled or deleted in loop 0x7fce4c827630 on thread 5248
[INFO] 2022-10-11-22-51-52 : /home/shc/Muduo/src/EventLoopThread.cpp (73) <threadFunc>   loop_ = 0x7fce4c827630 in thread 5248
[INFO] 2022-10-11-22-51-52 : /home/shc/Muduo/src/EventLoop.cpp (82) <loop>   EventLoop 0x7fce4c827630 belonged to thread 5248 start looping on thread 5248

[INFO] 2022-10-11-22-51-52 : /home/shc/Muduo/src/EventLoop.cpp (86) <loop>   TEST

[INFO] 2022-10-11-22-51-52 : /home/shc/Muduo/src/EpollPoller.cpp (125) <poll>   fd to be monitored total count : 1 in loop 0x7fce4c827630 on thread 5248

[INFO] 2022-10-11-22-51-52 : /home/shc/Muduo/src/EventLoopThread.cpp (58) <threadFunc>   main(): pid = 5246 , tid = 5249

[INFO] 2022-10-11-22-51-52 : /home/shc/Muduo/src/EventLoop.cpp (42) <EventLoop>   EventLoop created 0x7fce47ffe630 in thread 5249

[INFO] 2022-10-11-22-51-52 : /home/shc/Muduo/src/EpollPoller.cpp (38) <updateChannel>   fd = 11 , events = 3 , index = -1

[INFO] 2022-10-11-22-51-52 : /home/shc/Muduo/src/EpollPoller.cpp (92) <update>   fd = 11 is to be epolled or deleted in loop 0x7fce47ffe630 on thread 5249
[INFO] 2022-10-11-22-51-52 : /home/shc/Muduo/src/EventLoopThread.cpp (73) <threadFunc>   loop_ = 0x7fce47ffe630 in thread 5249
[INFO] 2022-10-11-22-51-52 : /home/shc/Muduo/src/EventLoop.cpp (82) <loop>   EventLoop 0x7fce47ffe630 belonged to thread 5249 start looping on thread 5249

[INFO] [INFO] 2022-10-11-22-51-52 : /home/shc/Muduo/src/EventLoop.cpp (86) <loop>   TEST

[INFO] 2022-10-11-22-51-52 : /home/shc/Muduo/src/EventLoop.cpp (182) <runInLoop>   cb runInLoop in loop 0x7ffe86a07ca0 on thread 5246
[INFO] 2022-10-11-22-51-52 : /home/shc/Muduo/src/EpollPoller.cpp (125) <poll>   fd to be monitored total count : 1 in loop 0x7fce47ffe630 on thread 5249

