[INFO] 2022-10-12-20-42-29 : /home/shc/Muduo/src/EventLoop.cpp (42) <EventLoop>   EventLoop created 0x7ffd052fd200 in thread 21001

[INFO] 2022-10-12-20-42-29 : /home/shc/Muduo/src/EpollPoller.cpp (38) <updateChannel>   fd = 4 , events = 3 , index = -1

[INFO] 2022-10-12-20-42-29 : /home/shc/Muduo/src/EpollPoller.cpp (92) <update>   fd = 4 is to be epolled or deleted in loop 0x7ffd052fd200 on thread 21001
[INFO] 2022-10-12-20-42-29 : /home/shc/Muduo/src/EventLoop.cpp (182) <runInLoop>   cb runInLoop in loop 0x7ffd052fd200 on thread 21001
[INFO] 2022-10-12-20-42-29 : /home/shc/Muduo/src/EventLoop.cpp (188) <runInLoop>   直接调用cb on loop 0x7ffd052fd200 in thread 21001

[INFO] 2022-10-12-20-42-29 : /home/shc/Muduo/src/EpollPoller.cpp (38) <updateChannel>   fd = 5 , events = 3 , index = -1

[INFO] 2022-10-12-20-42-29 : /home/shc/Muduo/src/EpollPoller.cpp (92) <update>   fd = 5 is to be epolled or deleted in loop 0x7ffd052fd200 on thread 21001
[INFO] 2022-10-12-20-42-29 : /home/shc/Muduo/src/EventLoop.cpp (82) <loop>   EventLoop 0x7ffd052fd200 belonged to thread 21001 start looping on thread 21001

[INFO] 2022-10-12-20-42-29 : /home/shc/Muduo/src/EventLoop.cpp (86) <loop>   TEST

[INFO] 2022-10-12-20-42-29 : /home/shc/Muduo/src/EpollPoller.cpp (125) <poll>   fd to be monitored total count : 2 in loop 0x7ffd052fd200 on thread 21001

[INFO] 2022-10-12-20-42-32 : /home/shc/Muduo/src/EpollPoller.cpp (139) <poll>   1 events happneded

[INFO] 2022-10-12-20-42-32 : /home/shc/Muduo/src/EpollPoller.cpp (172) <fillActiveChannels>   fill fd = 5 

[INFO] 2022-10-12-20-42-32 : /home/shc/Muduo/src/EventLoop.cpp (102) <loop>   5 is being handled on EventLoop 0x7ffd052fd200 in thread 21001

[INFO] 2022-10-12-20-42-32 : /home/shc/Muduo/src/Channel.cpp (85) <handlerEventWithGuard>   happened 3

[INFO] 2022-10-12-20-42-32 : /home/shc/Muduo/src/Acceptor.cpp (61) <handleConnection>   Acceptor::accept on thread 21001
[INFO] 2022-10-12-20-42-32 : /home/shc/Muduo/src/TcpServer.cpp (86) <newConnection>   TcpServer::newConnection [EchoServer] - new connection [EchoServer-127.0.0.1:6667#1] from 127.0.0.1:34364 

[INFO] 2022-10-12-20-42-32 : /home/shc/Muduo/src/TcpConnection.cpp (39) <TcpConnection>   TcpConnection::ctor [EchoServer-127.0.0.1:6667#1] on fd = 6

[INFO] 2022-10-12-20-42-32 : /home/shc/Muduo/src/TcpServer.cpp (107) <newConnection>   shared_ptr cnt 1
[INFO] 2022-10-12-20-42-32 : /home/shc/Muduo/src/TcpServer.cpp (111) <newConnection>   shared_ptr cnt 2
[INFO] 2022-10-12-20-42-32 : /home/shc/Muduo/src/EventLoop.cpp (182) <runInLoop>   cb runInLoop in loop 0x7ffd052fd200 on thread 21001
[INFO] 2022-10-12-20-42-32 : /home/shc/Muduo/src/EventLoop.cpp (188) <runInLoop>   直接调用cb on loop 0x7ffd052fd200 in thread 21001

[INFO] 2022-10-12-20-42-32 : /home/shc/Muduo/src/TcpConnection.cpp (308) <connectionEstablished>   connectionEstablised in loop 0x7ffd052fd200 on thread 21001
[INFO] 2022-10-12-20-42-32 : /home/shc/Muduo/src/EpollPoller.cpp (38) <updateChannel>   fd = 6 , events = 3 , index = -1

[INFO] 2022-10-12-20-42-32 : /home/shc/Muduo/src/EpollPoller.cpp (92) <update>   fd = 6 is to be epolled or deleted in loop 0x7ffd052fd200 on thread 21001
[INFO] 2022-10-12-20-42-32 : writeCompleteCallback.cpp (30) <onConnection>   CONNECTION UP EchoServer-127.0.0.1:6667#1

[INFO] 2022-10-12-20-42-32 : /home/shc/Muduo/src/EventLoop.cpp (264) <doPendingFunctors>   functor size = 0
[INFO] 2022-10-12-20-42-32 : /home/shc/Muduo/src/EventLoop.cpp (86) <loop>   TEST

[INFO] 2022-10-12-20-42-32 : /home/shc/Muduo/src/EpollPoller.cpp (125) <poll>   fd to be monitored total count : 3 in loop 0x7ffd052fd200 on thread 21001

[INFO] 2022-10-12-20-42-34 : /home/shc/Muduo/src/EpollPoller.cpp (139) <poll>   1 events happneded

[INFO] 2022-10-12-20-42-34 : /home/shc/Muduo/src/EpollPoller.cpp (172) <fillActiveChannels>   fill fd = 6 

[INFO] 2022-10-12-20-42-34 : /home/shc/Muduo/src/EventLoop.cpp (102) <loop>   6 is being handled on EventLoop 0x7ffd052fd200 in thread 21001

[INFO] 2022-10-12-20-42-34 : /home/shc/Muduo/src/Channel.cpp (85) <handlerEventWithGuard>   happened 3

[INFO] 2022-10-12-20-42-34 : /home/shc/Muduo/src/TcpConnection.cpp (56) <handleRead>   handle read 8 bytes
[INFO] 2022-10-12-20-42-34 : writeCompleteCallback.cpp (40) <onMessage>   onMessage

[INFO] 2022-10-12-20-42-34 : /home/shc/Muduo/src/TcpConnection.cpp (185) <send>   test send 8 : asdasd

